image_id,mean_score_prediction
DSC03844,6.078856077045202
DSC03845,5.757533010095358
DSC03846,5.521091107279062
DSC03847,5.310613162815571
DSC03848,4.694294452667236
DSC03849,4.892903417348862
DSC03850,5.701929334551096
DSC03851,5.874997954815626
DSC03852,5.074490964412689
DSC03853,5.947690885514021
DSC03854,5.900909915566444
DSC03855,5.389656908810139
DSC03856,5.371076438575983
DSC03857,5.79868520796299
DSC03858,5.746897831559181
DSC03859,5.877289406955242
DSC03860,6.471067287027836
DSC03861,5.802909307181835
DSC03862,5.565228350460529
DSC03863,5.764670368283987
DSC03864,6.02606301382184
DSC03865,5.788802672177553
DSC03866,5.9018284156918535
DSC03867,5.694934628903866
DSC03868,5.5864332765340805
DSC03869,5.473189413547516
DSC03870,5.401562288403511
DSC03871,5.470619961619377
DSC03872,5.694787684828043
DSC03873,5.058638073503971
DSC03874,5.584977742284536
DSC03875,5.9208887461572886
DSC03876,6.185178179293871
DSC03877,6.291674669831991
DSC03878,5.891382725909352
DSC03880,5.804632343351841
DSC03881,6.213578090071678
DSC03882,6.075754083693027
DSC03883,6.293519554659724
DSC03884,6.081033267080784
DSC03885,6.097913719713688
DSC03886,6.191070515662432
DSC03887,5.985620757564902
DSC03888,5.648381765931845
DSC03889,5.511747624725103
DSC03890,6.089613318443298
DSC03891,5.503882404416799
DSC03892,5.12893345952034
DSC03893,5.32892507314682
DSC03894,5.740954030305147
DSC03895,5.75127625092864
DSC03896,5.996138835325837
DSC03897,5.627875197678804
DSC03898,5.90725639835
DSC03899,5.509303886443376
DSC03900,5.614067167043686
DSC03901,5.12992237880826
DSC03902,5.713926296681166
DSC03903,6.197029864415526
DSC03904,6.19746670871973
DSC03905,5.882097782567143
DSC03906,6.327462127432227
DSC03907,6.056596910580993
DSC03908,6.318936944007873
DSC03909,4.815675809979439
DSC03910,6.098117742687464
DSC03911,5.608988042920828
DSC03912,6.668446587398648
DSC03913,5.859562795609236
DSC03914,6.350405555218458
DSC03915,5.887559477239847
DSC03916,5.443591456860304
DSC03917,5.989727456122637
DSC03918,5.391922742128372
DSC03919,6.105784013867378
DSC03920,5.609747242182493
DSC03921,6.042661603540182
DSC03922,4.007833041250706
DSC03923,6.115898508578539
DSC03924,6.137317713350058
DSC03925,6.478374645113945
DSC03926,5.143705144524574
DSC03927,6.049404706805944
DSC03928,5.608249709010124
DSC03929,5.587905652821064
DSC03930,5.741704642772675
DSC03931,5.467366270720959
DSC03932,5.7729266211390495
DSC03933,5.87337539345026
DSC03934,6.152780674397945
DSC03935,6.2849362045526505
DSC03936,5.475077461451292
DSC03937,5.393007796257734
DSC03938,6.06864033639431
DSC03939,6.074164867401123
DSC03940,5.924421824514866
DSC03941,5.793977867811918
DSC03942,5.720430985093117
DSC03943,5.811885194852948
DSC03944,6.045899484306574
DSC03945,6.504106227308512
DSC03946,5.770062610507011
DSC03947,5.739943154156208
DSC03948,5.913160167634487
DSC03949,5.71120910346508
DSC03950,5.966645140200853
DSC03951,5.5093709602952
DSC03952,5.652003679424524
DSC03953,5.720443785190582
DSC03954,6.267151579260826
DSC03955,5.426036573946476
DSC03956,5.212595082819462
DSC03957,5.688117068260908
DSC03958,6.03219923004508
DSC03959,5.433752298355102
DSC03960,5.836906798183918
DSC03961,5.757701620459557
DSC03962,5.139257788658142
DSC03963,5.978172350674868
DSC03964,5.2401710487902164
DSC03965,5.275513157248497
DSC03966,5.533654388040304
DSC03967,5.458630558103323
DSC03968,5.351946249604225
DSC03969,5.465361427515745
DSC03970,5.36402877420187
DSC03971,5.494845673441887
DSC03972,5.743965715169907
DSC03973,6.065374683588743
DSC03974,6.416921898722649
DSC03975,6.1806928757578135
DSC03976,6.016301799565554
DSC03977,5.960184991359711
DSC03978,6.178762979805469
DSC03979,4.978842318058014
DSC03980,5.755162887275219
DSC03981,5.884415924549103
DSC03982,5.538128674030304
DSC03983,5.717237625271082
DSC03984,5.368881374597549
DSC03985,5.420124549418688
DSC03986,5.595311935991049
DSC03987,5.624957382678986
DSC03988,5.327457226812839
DSC03989,5.197177425026894
DSC03990,5.4852476716041565
DSC03991,5.209709864109755
DSC03992,4.614659134298563
DSC03993,5.059932827949524
DSC03994,5.230094332247972
DSC03995,4.986415714025497
DSC03996,4.959407661110163
DSC03997,5.154004756361246
DSC03998,5.639095414429903
DSC03999,5.733671605587006
DSC04000,5.9028888791799545
DSC04001,5.71975040435791
DSC04002,5.627371560782194
DSC04003,5.663135811686516
DSC04004,6.100188225507736
DSC04005,5.579788513481617
DSC04006,5.731217315420508
DSC04007,5.816024944186211
DSC04008,5.8654980808496475
DSC04009,5.953907638788223
DSC04010,5.810706734657288
DSC04011,5.853473108261824
DSC04012,6.351858180016279
DSC04013,6.121149379760027
DSC04014,5.546549342572689
DSC04015,5.46367896348238
DSC04016,5.670351982116699
DSC04017,5.918923236429691
DSC04018,5.620316982269287
DSC04019,5.234284691512585
DSC04020,4.843462251126766
DSC04021,4.906229704618454
DSC04022,4.802646830677986
DSC04023,5.106169134378433
DSC04024,5.047478251159191
DSC04025,5.6180451065301895
DSC04026,5.067944847047329
DSC04027,5.014144718647003
DSC04028,4.944398000836372
DSC04029,4.895538039505482
DSC04030,5.492042317986488
DSC04031,5.528337799012661
DSC04032,5.372758433222771
DSC04033,5.233365036547184
DSC04034,5.318495266139507
DSC04035,5.08246635645628
DSC04036,5.153423137962818
DSC04037,5.899156112223864
DSC04038,5.2652339562773705
DSC04039,5.03929079324007
DSC04040,4.844992585480213
DSC04041,5.002478249371052
DSC04042,5.723909504711628
DSC04043,5.883500810712576
DSC04044,5.2394795417785645
DSC04045,5.425218097865581
DSC04046,5.503874693065882
DSC04047,5.490683697164059
DSC04048,5.183368176221847
DSC04049,5.387766234576702
DSC04050,5.5446787513792515
DSC04051,5.483050890266895
DSC04052,5.540309075266123
DSC04053,5.227494768798351
DSC04054,4.911292217671871
DSC04055,5.159904778003693
DSC04056,4.969262346625328
DSC04057,4.87255821377039
DSC04058,4.717692732810974
DSC04059,4.962069980800152
DSC04060,5.126188479363918
DSC04061,5.496300987899303
DSC04062,4.927774675190449
DSC04063,5.718534581363201
DSC04064,6.073815930634737
DSC04065,5.907583212479949
DSC04066,6.117861120030284
DSC04067,5.988067883066833
DSC04068,6.186584675684571
DSC04069,6.024095203727484
DSC04070,6.089679567143321
DSC04071,6.124728200957179
DSC04072,5.921134286560118
DSC04073,5.88479314930737
DSC04074,5.747798288241029
DSC04075,5.968530546873808
DSC04076,6.126687468960881
DSC04077,5.841700509190559
DSC04078,5.979544013738632
DSC04079,6.083700539544225
DSC04080,6.140092069283128
DSC04081,5.76718333363533
DSC04082,6.490902967751026
DSC04083,6.242320397868752
DSC04084,6.140786120668054
DSC04085,6.384814301505685
DSC04086,6.412211652845144
DSC04087,6.21337460540235
DSC04088,6.33896485157311
DSC04089,6.343295767903328
DSC04090,5.970530657097697
DSC04091,6.345352869480848
DSC04092,6.429211726412177
DSC04093,5.985483948141336
DSC04094,5.801191542297602
DSC04095,6.035591427236795
DSC04096,5.632323853671551
DSC04097,4.7659458592534065
DSC04098,5.089175194501877
DSC04099,5.218713402748108
DSC04100,5.15140688419342
DSC04101,5.153516009449959
DSC04102,5.430071845650673
DSC04103,5.547379273921251
DSC04104,5.385965470224619
DSC04105,5.316186685115099
DSC04106,5.256041072309017
DSC04107,5.295405440032482
DSC04108,5.122933812439442
DSC04109,5.182818107306957
DSC04110,5.367601580917835
DSC04111,5.106355015188456
DSC04112,5.063047908246517
DSC04113,5.405092068016529
DSC04114,5.230229340493679
DSC04115,5.065060622990131
DSC04116,5.630998834967613
DSC04117,5.739559853449464
DSC04118,5.723094683140516
DSC04119,5.649554420262575
DSC04120,5.712767891585827
DSC04121,5.776534788310528
DSC04122,5.335518009960651
DSC04123,5.18190523982048
DSC04124,4.830505579710007
DSC04125,5.900408525019884
DSC04126,5.095583699643612
DSC04127,4.782587997615337
DSC04128,4.866591230034828
DSC04129,4.996299356222153
DSC04130,5.015665885061026
DSC04131,5.517191220074892
DSC04132,5.036816701292992
DSC04133,5.798951841890812
DSC04134,5.518378499895334
DSC04135,4.957439385354519
DSC04136,5.193786084651947
DSC04137,5.357686776667833
DSC04138,5.389165576547384
DSC04139,5.10789941996336
DSC04140,5.089985877275467
DSC04141,5.890957493335009
DSC04142,6.422525210306048
DSC04143,5.792746111750603
DSC04144,5.596283841878176
DSC04145,5.340733341872692
DSC04146,5.6275858245790005
DSC04147,5.553369108587503
DSC04148,5.404407721012831
DSC04149,5.474740710109472
DSC04150,5.554166607558727
DSC04151,5.555228069424629
DSC04152,5.556876376271248
DSC04153,5.149554342031479
DSC04154,5.148545265197754
DSC04155,5.149248197674751
DSC04156,5.250849910080433
DSC04157,5.250100634992123
DSC04158,5.249169707298279
DSC04159,5.350919120013714
DSC04160,5.35004248470068
DSC04161,5.349908210337162
DSC04162,5.457677893340588
DSC04163,5.45693201571703
DSC04164,5.455952554941177
DSC04165,5.813790202140808
